0;0
1;21
2;21
3;6
4;20
5;16
6;10
7;25
8;25
9;24
10;23
11;22
12;9
13;10
14;20
15;16
16;27
17;16
18;13
19;18
20;9
21;26
22;14
23;24
24;19
25;19
26;23
27;20
28;23
29;17
30;6
31;15
32;26
33;14
34;15
35;17
36;23
37;17
38;28
39;16
40;18
41;25
42;21
43;16
44;18
45;15
46;15
47;22
48;17
49;21
50;14
51;22
52;20
53;21
54;18
55;20
56;24
57;17
58;17
59;29
60;3
61;20
62;17
63;27
64;19
65;13
66;21
67;23
68;10
69;9
70;24
71;26
72;25
73;8
74;19
75;11
76;19
77;23
78;20
79;11
80;21
81;26
82;20
83;9
84;18
85;23
86;14
87;26
88;23
89;22
90;21
91;10
92;24
93;11
94;23
95;18
96;16
97;22
98;11
99;15
